ZIP,Studio,1BR,2BR,3BR,4BR,Division,Region,,,,,,,,,,,,,
79707,"$1,286 ","$1,295 ","$1,669 ","$2,011 ","$2,359 ",West South Central,South,,,,,,,,,,,,,
78717,"$1,549 ","$1,650 ","$1,949 ","$2,484 ","$2,882 ",West South Central,South,,,,,,,,,,,,,
85748,$941 ,"$1,052 ","$1,373 ","$1,924 ","$2,232 ",Mountain,West,,,,,,,,,,,,,
79707,"$1,286 ","$1,295 ","$1,669 ","$2,011 ","$2,359 ",Mountain,West,,,,,,,,,,,,,
85207,"$1,530 ","$1,679 ","$1,950 ","$2,624 ","$2,934 ",Mountain,West,,,,,,,,,,,,,
81401,$867 ,$873 ,"$1,145 ","$1,604 ","$1,923 ",Mountain,West,,,,,,,,,,,,,
80108,"$1,639 ","$1,789 ","$2,140 ","$2,794 ","$3,127 ",Mountain,West,,,,,,,,,,,,,
80202,"$1,639 ","$1,789 ","$2,140 ","$2,794 ","$3,127 ",Mountain,West,,,,,,,,,,,,,
83704,"$1,300 ","$1,534 ","$1,838 ","$2,575 ","$3,080 ",Mountain,West,,,,,,,,,,,,,
83815,"$1,001 ","$1,226 ","$1,460 ","$2,046 ","$2,452 ",Mountain,West,,,,,,,,,,,,,
83713,"$1,300 ","$1,534 ","$1,838 ","$2,575 ","$3,080 ",Mountain,West,,,,,,,,,,,,,
59718,"$1,234 ","$1,385 ","$1,778 ","$2,491 ","$2,942 ",Mountain,West,,,,,,,,,,,,,
59901,"$1,024 ","$1,064 ","$1,396 ","$1,860 ","$2,344 ",Mountain,West,,,,,,,,,,,,,
59718,"$1,234 ","$1,385 ","$1,778 ","$2,491 ","$2,942 ",Mountain,West,,,,,,,,,,,,,
89705,"$1,004 ","$1,199 ","$1,464 ","$2,051 ","$2,458 ",Mountain,West,,,,,,,,,,,,,
89434,"$1,181 ","$1,370 ","$1,722 ","$2,384 ","$2,788 ",Mountain,West,,,,,,,,,,,,,
89183,"$1,316 ","$1,476 ","$1,750 ","$2,452 ","$2,841 ",Mountain,West,,,,,,,,,,,,,
87402,$841 ,$855 ,"$1,034 ","$1,449 ","$1,571 ",Mountain,West,,,,,,,,,,,,,
87124,$913 ,"$1,084 ","$1,331 ","$1,865 ","$2,209 ",Mountain,West,,,,,,,,,,,,,
87114,$913 ,"$1,084 ","$1,331 ","$1,865 ","$2,209 ",Mountain,West,,,,,,,,,,,,,
84660,"$1,164 ","$1,171 ","$1,355 ","$1,899 ","$2,275 ",Mountain,West,,,,,,,,,,,,,
84095,"$1,243 ","$1,453 ","$1,748 ","$2,348 ","$2,670 ",Mountain,West,,,,,,,,,,,,,
84121,"$1,243 ","$1,453 ","$1,748 ","$2,348 ","$2,670 ",Mountain,West,,,,,,,,,,,,,
82609,$755 ,$868 ,"$1,062 ","$1,488 ","$1,764 ",Mountain,West,,,,,,,,,,,,,
83001,"$1,186 ","$1,194 ","$1,568 ","$2,090 ","$2,607 ",Mountain,West,,,,,,,,,,,,,
82009,$782 ,$903 ,"$1,141 ","$1,599 ","$1,916 ",Mountain,West,,,,,,,,,,,,,
99654,"$1,019 ","$1,055 ","$1,384 ","$1,939 ","$2,324 ",Pacific,West,,,,,,,,,,,,,
99515,"$1,089 ","$1,191 ","$1,563 ","$2,190 ","$2,625 ",Pacific,West,,,,,,,,,,,,,
95330,"$1,248 ","$1,363 ","$1,736 ","$2,433 ","$2,915 ",Pacific,West,,,,,,,,,,,,,
91730,"$1,776 ","$1,852 ","$2,306 ","$3,079 ","$3,745 ",Pacific,West,,,,,,,,,,,,,
90065,"$1,856 ","$2,081 ","$2,625 ","$3,335 ","$3,698 ",Pacific,West,,,,,,,,,,,,,
96740,"$1,575 ","$1,612 ","$2,075 ","$2,703 ","$3,023 ",Pacific,West,,,,,,,,,,,,,
96734,"$1,887 ","$2,052 ","$2,687 ","$3,765 ","$4,512 ",Pacific,West,,,,,,,,,,,,,
96818,"$1,887 ","$2,052 ","$2,687 ","$3,765 ","$4,512 ",Pacific,West,,,,,,,,,,,,,
98626,$963 ,"$1,186 ","$1,404 ","$1,967 ","$2,358 ",Pacific,West,,,,,,,,,,,,,
97303,"$1,147 ","$1,198 ","$1,543 ","$2,148 ","$2,334 ",Pacific,West,,,,,,,,,,,,,
97217,"$1,628 ","$1,750 ","$1,997 ","$2,739 ","$3,217 ",Pacific,West,,,,,,,,,,,,,
98233,"$1,166 ","$1,300 ","$1,701 ","$2,384 ","$2,592 ",Pacific,West,,,,,,,,,,,,,
98901,$903 ,"$1,004 ","$1,317 ","$1,845 ","$2,212 ",Pacific,West,,,,,,,,,,,,,
98101,"$2,238 ","$2,293 ","$2,671 ","$3,521 ","$4,104 ",Pacific,West,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
