Product,Zip Code,Price,Location,Area Type,Category
Toilet Paper,4952,12.99,"Morrill, ME",Rural,Toiletries
Toilet Paper,4086,12.99,"Topsham, ME",Suburban,Toiletries
Toilet Paper,4401,12.99,"Bangor, ME",Urban,Toiletries
Toilet Paper,1040,12.99,"Holyoke, MA",Rural,Toiletries
Toilet Paper,2122,13.59,"Dorchester, MA",Suburban,Toiletries
Toilet Paper,2114,13.59,"Boston, MA",Urban,Toiletries
Toilet Paper,3840,12.99,"Greenland, NH",Rural,Toiletries
Toilet Paper,3110,12.99,"Bedford, NH",Suburban,Toiletries
Toilet Paper,3063,12.99,"Nashua, NH",Urban,Toiletries
Toilet Paper,2917,12.99,"Smithfield, RI",Rural,Toiletries
Toilet Paper,2886,12.99,"Warwick, RI",Suburban,Toiletries
Toilet Paper,2865,12.99,"Lincoln, RI",Urban,Toiletries
Toilet Paper,5403,12.99,"South Burlington, VT",Suburban,Toiletries
AirPods,6241,179.99,"Dayville, CT",Rural,Electronics
AirPods,6042,179.99,"Manchester, CT",Suburban,Electronics
AirPods,6901,179.99,"Stamford, CT",Urban,Electronics
AirPods,4952,179.99,"Morrill, ME",Rural,Electronics
AirPods,4086,179.99,"Topsham, ME",Suburban,Electronics
AirPods,4401,179.99,"Bangor, ME",Urban,Electronics
AirPods,1040,179.99,"Holyoke, MA",Rural,Electronics
AirPods,2122,179.99,"Dorchester, MA",Suburban,Electronics
AirPods,2114,179.99,"Boston, MA",Urban,Electronics
AirPods,3840,179.99,"Greenland, NH",Rural,Electronics
AirPods,3110,179.99,"Bedford, NH",Suburban,Electronics
AirPods,3063,179.99,"Nashua, NH",Urban,Electronics
AirPods,2917,179.99,"Smithfield, RI",Rural,Electronics
AirPods,2886,179.99,"Warwick, RI",Suburban,Electronics
AirPods,2865,179.99,"Lincoln, RI",Urban,Electronics
AirPods,5403,179.99,"South Burlington, VT",Suburban,Electronics
Cotton Swabs,6241,3.39,"Dayville, CT",Rural,Toiletries
Cotton Swabs,6042,3.39,"Manchester, CT",Suburban,Toiletries
Cotton Swabs,6901,3.69,"Stamford, CT",Urban,Toiletries
Cotton Swabs,4952,3.39,"Morrill, ME",Rural,Toiletries
Cotton Swabs,4086,3.39,"Topsham, ME",Suburban,Toiletries
Cotton Swabs,4401,3.39,"Bangor, ME",Urban,Toiletries
Cotton Swabs,1040,3.39,"Holyoke, MA",Rural,Toiletries
Cotton Swabs,2122,3.29,"Dorchester, MA",Suburban,Toiletries
Cotton Swabs,2114,3.29,"Boston, MA",Urban,Toiletries
Cotton Swabs,3840,3.39,"Greenland, NH",Rural,Toiletries
Cotton Swabs,3110,3.39,"Bedford, NH",Suburban,Toiletries
Cotton Swabs,3063,3.39,"Nashua, NH",Urban,Toiletries
Cotton Swabs,2917,3.39,"Smithfield, RI",Rural,Toiletries
Cotton Swabs,2886,3.39,"Warwick, RI",Suburban,Toiletries
Cotton Swabs,2865,3.39,"Lincoln, RI",Urban,Toiletries
Cotton Swabs,5403,3.39,"South Burlington, VT",Suburban,Toiletries
Diapers,6241,44.99,"Dayville, CT",Rural,Baby Care
Diapers,6042,44.99,"Manchester, CT",Suburban,Baby Care
Diapers,6901,44.99,"Stamford, CT",Urban,Baby Care
Diapers,4952,44.99,"Morrill, ME",Rural,Baby Care
Diapers,4086,44.99,"Topsham, ME",Suburban,Baby Care
Diapers,4401,44.99,"Bangor, ME",Urban,Baby Care
Diapers,1040,44.99,"Holyoke, MA",Rural,Baby Care
Diapers,2122,44.99,"Dorchester, MA",Suburban,Baby Care
Diapers,2114,44.99,"Boston, MA",Urban,Baby Care
Diapers,3840,44.99,"Greenland, NH",Rural,Baby Care
Diapers,3110,44.99,"Bedford, NH",Suburban,Baby Care
Diapers,3063,44.99,"Nashua, NH",Urban,Baby Care
Diapers,2917,44.99,"Smithfield, RI",Rural,Baby Care
Diapers,2886,44.99,"Warwick, RI",Suburban,Baby Care
Diapers,2865,44.99,"Lincoln, RI",Urban,Baby Care
Diapers,5403,44.99,"South Burlington, VT",Suburban,Baby Care
T-Shirt,6241,9.6,"Dayville, CT",Rural,Clothing
T-Shirt,6042,9.6,"Manchester, CT",Suburban,Clothing
T-Shirt,6901,9.6,"Stamford, CT",Urban,Clothing
T-Shirt,4952,9.6,"Morrill, ME",Rural,Clothing
T-Shirt,4086,9.6,"Topsham, ME",Suburban,Clothing
T-Shirt,4401,9.6,"Bangor, ME",Urban,Clothing
T-Shirt,1040,9.6,"Holyoke, MA",Rural,Clothing
T-Shirt,2122,9.6,"Dorchester, MA",Suburban,Clothing
T-Shirt,2114,9.6,"Boston, MA",Urban,Clothing
T-Shirt,3840,9.6,"Greenland, NH",Rural,Clothing
T-Shirt,3110,9.6,"Bedford, NH",Suburban,Clothing
T-Shirt,3063,9.6,"Nashua, NH",Urban,Clothing
T-Shirt,2917,9.6,"Smithfield, RI",Rural,Clothing
T-Shirt,2886,9.6,"Warwick, RI",Suburban,Clothing
T-Shirt,2865,9.6,"Lincoln, RI",Urban,Clothing
T-Shirt,5403,9.6,"South Burlington, VT",Suburban,Clothing
Eggs,6241,3.99,"Dayville, CT",Rural,Food
Eggs,6042,3.99,"Manchester, CT",Suburban,Food
Eggs,6901,4.49,"Stamford, CT",Urban,Food
Eggs,4952,4.49,"Morrill, ME",Rural,Food
Eggs,4086,4.49,"Topsham, ME",Suburban,Food
Eggs,4401,4.49,"Bangor, ME",Urban,Food
Eggs,1040,3.99,"Holyoke, MA",Rural,Food
Eggs,2122,5.19,"Dorchester, MA",Suburban,Food
Eggs,2114,5.19,"Boston, MA",Urban,Food
Eggs,3840,4.49,"Greenland, NH",Rural,Food
Eggs,3110,4.49,"Bedford, NH",Suburban,Food
Eggs,3063,3.99,"Nashua, NH",Urban,Food
Eggs,2917,4.49,"Smithfield, RI",Rural,Food
Eggs,2886,4.49,"Warwick, RI",Suburban,Food
Eggs,2865,4.49,"Lincoln, RI",Urban,Food
Eggs,5403,3.99,"South Burlington, VT",Suburban,Food
Shampoo,6241,9.99,"Dayville, CT",Rural,Toiletries
Shampoo,6042,9.99,"Manchester, CT",Suburban,Toiletries
Shampoo,6901,9.99,"Stamford, CT",Urban,Toiletries
Shampoo,4952,9.99,"Morrill, ME",Rural,Toiletries
Shampoo,4086,9.99,"Topsham, ME",Suburban,Toiletries
Shampoo,4401,9.99,"Bangor, ME",Urban,Toiletries
Shampoo,1040,9.99,"Holyoke, MA",Rural,Toiletries
Shampoo,2122,9.99,"Dorchester, MA",Suburban,Toiletries
Shampoo,2114,9.99,"Boston, MA",Urban,Toiletries
Shampoo,3840,9.99,"Greenland, NH",Rural,Toiletries
Shampoo,3110,9.99,"Bedford, NH",Suburban,Toiletries
Shampoo,3063,9.99,"Nashua, NH",Urban,Toiletries
Shampoo,2917,9.99,"Smithfield, RI",Rural,Toiletries
Shampoo,2886,9.99,"Warwick, RI",Suburban,Toiletries
Shampoo,2865,9.99,"Lincoln, RI",Urban,Toiletries
Shampoo,5403,9.99,"South Burlington, VT",Suburban,Toiletries
Milk,6241,3.49,"Dayville, CT",Rural,Food
Milk,6042,3.49,"Manchester, CT",Suburban,Food
Milk,6901,3.79,"Stamford, CT",Urban,Food
Milk,4952,4.69,"Morrill, ME",Rural,Food
Milk,4086,4.69,"Topsham, ME",Suburban,Food
Milk,4401,4.69,"Bangor, ME",Urban,Food
Milk,1040,4.19,"Holyoke, MA",Rural,Food
Milk,2122,4.19,"Dorchester, MA",Suburban,Food
Milk,2114,4.19,"Boston, MA",Urban,Food
Milk,3840,3.49,"Greenland, NH",Rural,Food
Milk,3110,3.49,"Bedford, NH",Suburban,Food
Milk,3063,3.49,"Nashua, NH",Urban,Food
Milk,2917,3.59,"Smithfield, RI",Rural,Food
Milk,2886,3.59,"Warwick, RI",Suburban,Food
Milk,2865,3.59,"Lincoln, RI",Urban,Food
Milk,5403,3.49,"South Burlington, VT",Suburban,Food
