Zip Code,AirPods,Bananas,Cotton Swabs,Diapers,Eggs,Gum,Milk,Shampoo,T-Shirt,Toilet Paper,Vegetable Oil,Location,Area Type,Closest Distro Center,Unemployment Rate,Studio,1BR,2BR,3BR,4BR,Division,Region,Median Income,Population,Monthly Costs
68073,179.99,1.99,3.39,44.99,4.99,1.79,2.59,9.99,9.6,12.99,9.39,"Yutan, NE",Rural,161.62407701150536,2.1,772,854,983,1226,1451,West North Central,Midwest,107292,2182,3772
68116,179.99,1.99,3.39,44.99,4.99,1.79,2.59,9.99,9.6,12.99,9.39,"Omaha, NE",Urban,163.06760034431497,3.3,990,1052,1261,1675,1864,West North Central,Midwest,119182,34003,3858
68123,179.99,1.99,3.39,44.99,4.99,1.79,2.59,9.99,9.6,12.99,9.39,"Bellevue, NE",Suburban,148.2003094217984,2,990,1052,1261,1675,1864,West North Central,Midwest,96188,32203,4122
70816,179.99,1.99,3.39,44.99,4.99,1.79,4.59,9.99,9.6,12.99,9.39,"Baton Rouge, LA",Urban,270.8606675761132,7.5,1063,1081,1222,1528,2023,West South Central,South,65894,45232,4182
71111,179.99,1.99,3.39,44.99,4.99,1.79,4.49,9.99,9.6,12.99,9.39,"Bossier City, LA",Suburban,114.75375037951467,6.1,767,892,1017,1317,1394,West South Central,South,66465,44476,3831
71301,179.99,1.99,3.39,44.99,4.99,1.79,4.49,9.99,9.6,12.99,9.39,"Alexandria, LA",Rural,203.88240216399709,9.5,710,762,1000,1354,1513,West South Central,South,44330,20454,3511
72032,179.99,1.99,3.39,44.99,4.99,1.79,4.19,9.99,9.6,12.99,9.39,"Conway, AR",Suburban,241.36596122077412,3.7,887,892,1032,1376,1628,West South Central,South,61452,34316,3852
72703,179.99,1.99,3.39,44.99,4.99,1.79,3.49,9.99,9.6,12.99,9.39,"Fayetteville, AR",Urban,205.38544679739476,4.3,853,925,1111,1557,1798,West South Central,South,60232,33767,3614
72903,179.99,1.99,3.39,44.99,4.99,1.79,3.49,9.99,9.6,12.99,9.39,"Fort Smith, AR",Rural,167.0161262621783,4.3,689,694,910,1236,1496,West South Central,South,60186,25225,3362
73034,179.99,1.99,3.39,44.99,4.99,1.79,3.39,9.99,9.6,12.99,9.39,"Edmond, OK",Suburban,80.87169856517782,3.5,886,961,1180,1575,1719,West South Central,South,113296,47553,3607
